r,g,b,oc
26.7899267990944,20.2,15.0,0.95
39.5359987861645,27.1,17.4,0.42
41.8714780604057,27.9,17.5,0.38
42.7781968051589,17.9,9.3,0.27
45.3274156464575,22.0,12.0,0.34
48.7464500370047,24.8,13.5,0.18
51.7778872510061,28.9,15.9,0.13
29.2299293201472,18.8,11.5,0.99
35.1112999767165,20.8,11.6,0.65
39.4265770445909,20.3,10.5,0.46
45.569312413441,22.8,12.7,0.47
44.1087835447653,17.4,9.0,0.19
43.9362148540055,19.1,10.0,0.15
44.4169300802344,20.4,10.8,0.13
28.2334674767327,16.7,8.1,1.18
28.8351459635167,16.1,7.4,0.74
28.6725159704625,15.4,7.2,0.52
33.0908401963938,20.0,8.7,0.32
12.4509356909852,5.1,3.0,1.98
12.9989553628164,5.2,3.0,1.14
12.6521832543996,5.0,3.0,0.89
12.9623197082396,5.1,3.0,0.75
12.8925066067682,4.9,2.9,0.52
12.15199608842,4.5,2.7,0.34
13.3610818237357,5.6,3.1,2.47
13.2680839655828,5.2,3.0,1.15
13.1494110208692,5.4,3.2,0.88
13.0248177900551,5.3,3.2,0.8
12.2610853116947,4.9,2.9,0.53
17.1047102284298,8.2,5.0,0.83
18.2398505329471,8.0,4.6,0.49
19.6315837793968,8.2,4.8,0.31
20.2289805335567,8.2,4.8,0.22
21.9287540123986,8.7,5.2,0.11
14.5521948604779,6.7,3.8,2.84
15.4983623322242,7.0,3.8,1.62
15.5893877887555,7.1,3.9,0.92
17.0988057769471,6.7,3.6,0.43
14.0649910159409,5.9,3.5,2.58
14.8034537895156,6.0,3.5,1.76
13.88902319225,5.6,3.4,1.34
15.9380147678622,6.2,3.7,0.75
15.4897294079143,6.0,3.6,0.5
19.0410456538473,7.2,4.2,0.14
18.2286940292836,7.0,4.1,0.09
17.4418536371951,6.6,3.8,0.06
17.9266137425557,6.8,3.9,0.03
13.5715847168026,8.9,5.2,3.69
16.2622296461075,10.4,5.9,2.26
18.1507573523604,11.6,6.4,1.85
23.7118235607983,15.0,7.5,0.53
11.1548077462801,7.4,5.2,5.52
10.652480891494,7.3,5.2,4.19
15.7788149046813,9.6,6.1,2.81
17.4164099666239,10.2,6.2,2.03
25.5646820238526,13.9,7.7,1.37
33.4493775777946,15.6,7.6,0.6
44.4627768714845,20.5,11.9,0.09
18.728183791223,14.2,10.8,1.42
24.6621893785239,17.9,12.1,1.03
35.5408165586027,26.1,15.8,0.64
43.2186918007366,33.1,18.3,0.36
44.4905025327363,34.5,19.0,0.2
45.3549511982558,35.2,18.9,0.11
45.1578525629655,35.4,19.3,0.09
43.6525393250032,34.7,19.1,0.1
44.6442954526451,35.6,19.5,0.1
10.4709993369974,8.4,6.6,7.89
10.3830020881322,8.6,7.0,6.37
16.063167893493,11.9,8.5,2.93
23.492955202019,16.5,10.5,1.74
35.2822104843269,24.2,13.8,0.82
43.3354895919272,29.4,15.5,0.45
46.8882080831702,31.4,16.2,0.3
47.9144782791485,30.1,15.0,0.15
47.8901556589407,29.6,14.7,0.12
41.730976370998,32.0,20.1,2.64
47.5188294095977,37.5,22.3,1.37
51.9953077733703,41.4,23.6,0.77
55.1823017836086,44.0,23.9,0.5
55.9455601083083,44.1,24.2,0.35
52.2077842961426,40.5,22.0,0.27
21.6840190222336,10.9,6.0,2.58
21.8732066077053,11.0,6.1,1.9
20.6193021141877,9.4,4.9,1.47
19.3080620348639,8.0,4.4,1.36
19.2117053772627,7.6,4.1,1.21
25.1568150965516,9.2,4.7,0.79
31.4444981773522,11.8,5.7,0.45
35.0837902922387,12.6,6.0,0.3
30.184603372321,9.6,4.8,0.25
21.7296288373731,14.6,8.5,3.33
24.6910103580671,16.1,8.9,2.51
30.412248406052,19.2,9.6,1.87
34.1348942457716,21.2,9.7,1.43
37.5206243886808,22.1,9.7,1.03
37.8236230583763,22.6,9.9,0.46
41.8624773009695,21.2,10.5,0.45
42.2044647400831,18.3,9.3,0.3
37.6038055105059,15.3,8.9,0.11
9.75937607382575,7.1,5.5,2.46
10.1517877590638,7.1,5.2,1.8
10.1241638421656,7.1,5.2,1.67
22.3640273125001,12.6,6.6,0.64
22.8728264366098,14.4,7.9,0.31
20.8301942908844,14.4,8.1,0.12
20.0599619341705,15.0,8.4,0.05
25.1800149806252,17.9,12.4,1.49
28.9197862218421,20.7,13.8,0.74
31.1860961952566,23.1,15.1,0.42
24.43716460165,18.4,10.7,0.23
18.4721845391087,15.4,10.0,0.05
15.6193113095763,13.0,11.7,1.97
29.0811911655378,22.6,18.9,0.71
49.7089586117036,41.1,31.8,0.29
48.7081280895236,39.4,30.2,0.21
48.9982319358654,39.1,28.9,0.07
50.7964648826896,41.4,31.4,0.05
55.3719935914503,46.8,37.4,0.06
15.7011629436035,11.4,9.4,0.65
16.0303432327936,11.7,9.8,0.42
25.063126367274,17.9,14.6,0.16
22.2879363792072,15.3,12.2,0.48
30.7767410470606,21.1,16.1,1.11
45.2895075014572,34.7,21.7,0.85
15.2240887848185,12.1,9.9,1.0
22.1806139300075,17.0,13.5,0.42
25.7564894098913,18.2,12.7,0.29
38.0876718364157,27.7,18.4,0.1
38.8889179076501,27.0,15.6,0.16
41.9279018116541,29.0,15.5,0.16
44.6631797340897,29.8,15.0,0.49
25.5483058733067,16.9,9.4,1.16
21.6263980046337,12.7,6.7,0.72
23.0275982632058,12.4,6.4,0.28
25.1333218061604,15.2,7.0,0.19
25.2192978745918,19.1,11.3,0.04
29.7084989975349,21.6,16.1,0.56
32.8568853378128,24.1,18.0,0.23
25.1201196860982,17.0,11.0,0.38
29.384602070725,22.2,15.2,0.16
29.050860028294,21.0,14.1,1.74
41.1121845339307,28.7,16.3,1.15
46.5999336088552,26.1,13.5,0.59
48.2586524544532,29.0,16.5,0.27
51.3582108736469,32.1,20.6,0.14
60.1067911578333,43.5,28.3,0.06
54.0780518018062,39.5,27.9,0.07
23.8770012785591,15.5,9.8,0.66
27.7092360381081,17.8,10.8,0.45
28.3206861720812,17.0,9.8,0.35
31.0820983314732,18.4,10.2,0.29
32.4408206671555,18.2,9.5,0.2
33.4714870191654,17.6,8.8,0.12
34.6114578800753,15.5,7.7,0.08
36.2619190517312,16.0,8.6,0.08
36.9542232941765,15.3,8.3,0.02
13.019326439816,6.3,3.8,1.17
14.0216446312485,6.3,3.7,0.97
14.2597950430288,6.3,3.8,0.84
14.659723630005,6.2,3.7,0.64
15.1605001279226,6.3,3.9,0.45
16.9008802054972,7.1,4.2,0.31
17.5613184902664,7.2,4.3,0.18
17.5893902577216,7.1,4.1,0.12
19.8319813539571,9.0,5.4,2.89
24.6451369520521,9.8,5.5,1.74
25.8807474648894,10.4,5.9,1.36
26.2850521313219,10.2,5.9,1.0
24.984998619934,9.0,5.0,0.85
27.3323952799183,10.9,6.0,0.67
30.4737466568023,12.0,6.7,0.51
29.1784318345277,10.7,6.2,0.37
29.7091062611963,10.8,6.4,0.23
20.5048477566766,14.9,10.7,6.55
22.1779505362205,15.5,10.3,3.78
28.0773069420002,20.2,13.0,1.45
35.8417585839663,27.0,17.8,0.35
47.140332475977,36.9,23.4,0.33
49.2693942486672,37.1,23.6,0.2
50.4336845986768,38.5,21.8,0.11
49.6822384851218,34.4,23.2,0.05
51.7334540443794,38.6,23.5,0.0
21.7309698025883,16.0,12.4,2.0
34.8485358977516,25.5,18.5,0.54
43.4484558032845,31.3,19.5,0.29
43.2685138481625,31.6,21.1,0.17
41.6207812385316,30.2,20.1,0.22
36.2792302687574,28.1,19.8,0.2
38.4775538976307,30.5,22.2,0.14
40.3407788644178,33.2,26.2,0.13
46.3407292139036,38.1,23.7,0.05
48.06726429641,40.4,24.7,0.02
20.9400491631623,15.9,13.0,2.9
25.7370950305038,20.4,16.9,1.4
27.866825009999,22.0,18.0,1.2
29.4767539334513,23.4,19.3,0.9
31.0367368739191,23.4,16.8,0.71
34.1377615321883,25.8,17.7,0.32
30.6397613422215,21.8,13.3,0.4
40.9209349398877,27.8,15.3,0.14
34.2380371437883,20.5,9.5,0.11
35.3252166994831,21.1,9.8,0.1
49.704788820114,34.5,19.6,0.03
48.4228415962626,39.0,18.0,0.07
36.8406027071015,30.8,26.6,0.5
41.2757513540775,34.3,29.1,0.27
47.8371697704698,40.6,34.4,0.14
54.9591358504609,48.3,42.3,0.02
61.5577749090609,56.0,49.8,0.03
53.4639792354702,46.5,32.3,0.03
38.797509746446,29.2,16.9,0.05
38.4968542436706,28.6,16.1,0.06
37.0129719680178,25.6,14.8,0.04
43.4262363887713,30.5,18.0,0.06
46.1780648613886,32.4,20.4,0.03
9.22016354011798,5.8,3.8,9.83
13.1469912429074,7.9,4.7,4.93
