L,a,b,oc
0.0597832992203,0.03750964678,0.030696792542,43.53
0.20149725729,0.0869807234025,0.163293197905,0.15
0.195213353126,0.0272600877033,0.0595104678265,0.7544
0.190295379422,0.0144772550799,0.0767776499199,0.0852
0.180063260972,0.0452819299257,0.10355827351,1.23
0.0507691980983,0.0152089685983,0.018075366455,40.74
0.292486373891,0.0753804252624,0.185055427524,0.21
0.20574615937,0.043494598557,0.0960092490052,0.7616
0.216780374457,0.10318788908,0.170884037905,0.16
0.0787908094597,0.0127828132101,0.0547416918571,2.0316
0.404994373751,0.097841633437,0.30092859974,0.3856
0.182589482809,0.0377269810362,0.080473313503,3.39
0.187470025321,0.0621856344693,0.0827812794475,0.76
0.30350196325,0.0495282124483,0.154327383635,0.16
0.361490040602,0.0639140468017,0.191706849494,0.15
0.271471359979,0.011601671216,0.110130030582,0.5616
0.274886945699,0.121051521295,0.16269156726,0.044
0.0994962001121,0.0729286940371,0.0724897586449,47.32
0.18981162421,0.0366887158,0.0942157766104,0.4692
0.0637064464489,0.0494840819217,0.0442924731544,29.55
0.273480977003,0.0466870403226,0.148551550295,0.57
0.0817186963538,0.0228304369652,0.0306112597055,5.56
0.142601043004,0.145112463482,0.149445667772,0.27
0.0837110871308,0.0436628512666,0.0613683498764,0.7968
0.282308947424,0.119638486897,0.222126432177,3.8
0.128150582684,0.0405996099156,0.0863311637189,2.8952
0.165488455415,0.0531063257988,0.129205773759,0.9096
0.213639811025,0.0399912752121,0.120742668388,0.08
0.179844928218,0.0426113880306,0.0660059552922,2.11
0.310598820924,0.0316221560437,0.0560600462841,0.54
0.135083282493,0.0848130645716,0.0991689805102,11.2
0.178796200088,0.0500590944295,0.101923575671,1.0212
0.147001584058,0.037759280554,0.0672967942808,5.2292
0.287064035375,0.0643796600146,0.161250412792,1.0632
0.065868210943,0.026610337833,0.0315164580324,11.59
0.227117136695,0.055466425239,0.0801337568694,1.2176
0.331420787239,0.105622207084,0.246794647841,0.14
0.216911764902,0.202596476665,0.224053892315,0.02
0.278144280319,0.0733542884764,0.16880208625,1.81
0.0788328025841,0.0978263300389,0.0791992467425,1.36
0.277779899303,0.0686114966016,0.151874105665,2.56
0.128658046558,0.0327620594778,0.0813489410532,0.46
0.170561720262,0.0383100874149,0.0757633462659,1.046
0.0475543630044,0.00977467737914,0.011869169289,11.2792
0.217016895128,0.0496406586475,0.113763999679,4.18
0.0708209032641,0.0426855988371,0.0473250615096,33.31
0.364614735771,0.0515294239709,0.233812629424,1.58
0.141719618886,0.0901792996778,0.104977831789,50.12
0.108531365881,0.0445890754592,0.0689238841745,0.46
0.280146572759,0.0288062594468,0.124459797334,0.354
0.174386803233,0.0509093801283,0.113374641789,1.5872
0.381633581383,0.0231739487403,0.165398433849,0.9332
0.307758329658,0.00697961116629,0.0282557787061,1.3368
0.0597596835059,0.0461926009596,0.0346442650496,43.12
0.173975846573,0.101507338343,0.144088256495,0.59
0.274242507604,0.112264948382,0.138439103481,0.318
0.26625460296,0.0797916502481,0.175610605382,0.29
0.15310634954,0.0431027886033,0.0616428749978,7.96
0.18643187059,0.110064750027,0.161016039203,3.31
0.200330726672,0.0537906228721,0.114667583492,1.64
0.434706013355,0.0423648498876,0.226673630627,0.51
0.0896251631567,0.0464245525404,0.0632133053428,0.86
0.267063047775,0.0423560458272,0.165730830598,0.65
0.328424486101,0.0554368714014,0.234937858832,0.36
0.176710145437,0.0329120567698,0.0843787308816,1.2056
0.126868622561,0.0420030734133,0.0680020744213,1.424
0.2237633899,0.0911378938774,0.154846634066,0.2312
0.183227497224,0.0494066737955,0.0905255017195,3.1
0.420026989822,0.0339424682256,0.218494377631,0.21
0.0891766882345,0.0687847511949,0.0659050982501,39.27
0.425381609084,0.0482819836927,0.214176076947,0.18
0.260701367339,0.0986268629139,0.162209932464,0.1052
0.355366035585,0.014947187771,0.073911432127,0.06
0.130264454281,0.0797274714112,0.117008455275,13.84
0.287619508736,0.10897682336,0.174800942071,0.26
0.108854499379,0.021150939124,0.0509724761386,2.79
0.317332480109,0.074692313659,0.148478017672,1.03
0.206550647401,0.110886689937,0.209637046483,0.23
0.393476650997,0.0768461905962,0.241331028929,0.1436
0.271201434126,0.0465146087353,0.150319281484,0.88
0.295582701316,0.0868385220982,0.194376823621,0.25
0.18658592903,0.0364284857446,0.0578254387219,1.798
0.114190535038,0.0895276652238,0.115229130893,3.83
0.38073629433,0.0548358762917,0.249129934606,0.15
0.337624151209,0.103223007165,0.19326889051,0.21
0.253873451988,0.0769194164165,0.165321740491,0.22
0.267880384174,0.0534609227658,0.126126214736,1.79
0.340074190721,0.082022763263,0.146807935917,0.3068
0.146410515654,0.0545814852481,0.0760060740135,8.15
0.0834768998642,0.0294092932683,0.0383239787688,21.23
0.39060859636,0.0380424993741,0.123698659482,0.4104
0.23897340672,0.0663290305451,0.129598766101,1.2928
0.407221446395,0.0276601525346,0.171763239307,0.2456
0.384674586097,0.0253627582394,0.188246614095,0.3732
0.33251050537,0.0748363748474,0.191660413957,0.34
0.108383694319,0.0584298600037,0.0740612564248,12.08
0.106398703507,0.0226299602287,0.0398821167776,21.59
0.273139884512,0.0697989691631,0.13064931407,2.18
0.72429135465,0.0428314348278,0.181583983842,0.1656
0.127431919993,0.039277712276,0.0668833428079,0.8352
0.31063745302,0.0204253573594,0.124630310691,0.2816
0.217046083117,0.100312101263,0.164492160202,1.59
0.130096666173,0.0441939068434,0.0763444637896,1.95
0.29283189876,0.0983872307538,0.184716972221,0.17
0.264907528929,0.0496280834584,0.138432340604,0.1676
0.188144056808,0.053171515239,0.109819039785,1.81
0.103132447566,0.0582807925965,0.069654744303,32.99
0.138659896495,0.0796651423058,0.100386798775,0.768
0.274402958753,0.0409532262288,0.149648849711,0.04
0.0451397806197,0.0301435063761,0.02522196886,51.09
