L,a,b,oc
5.97832992203,3.750964678,3.0696792542,43.53
20.149725729,8.69807234025,16.3293197905,0.15
19.5213353126,2.72600877033,5.95104678265,0.7544
19.0295379422,1.44772550799,7.67776499199,0.0852
18.0063260972,4.52819299257,10.355827351,1.23
5.07691980983,1.52089685983,1.8075366455,40.74
29.2486373891,7.53804252624,18.5055427524,0.21
20.574615937,4.3494598557,9.60092490052,0.7616
21.6780374457,10.318788908,17.0884037905,0.16
7.87908094597,1.27828132101,5.47416918571,2.0316
40.4994373751,9.7841633437,30.092859974,0.3856
18.2589482809,3.77269810362,8.0473313503,3.39
18.7470025321,6.21856344693,8.27812794475,0.76
30.350196325,4.95282124483,15.4327383635,0.16
36.1490040602,6.39140468017,19.1706849494,0.15
27.1471359979,1.1601671216,11.0130030582,0.5616
27.4886945699,12.1051521295,16.269156726,0.044
9.94962001121,7.29286940371,7.24897586449,47.32
18.981162421,3.66887158,9.42157766104,0.4692
6.37064464489,4.94840819217,4.42924731544,29.55
27.3480977003,4.66870403226,14.8551550295,0.57
8.17186963538,2.28304369652,3.06112597055,5.56
14.2601043004,14.5112463482,14.9445667772,0.27
8.37110871308,4.36628512666,6.13683498764,0.7968
28.2308947424,11.9638486897,22.2126432177,3.8
12.8150582684,4.05996099156,8.63311637189,2.8952
16.5488455415,5.31063257988,12.9205773759,0.9096
21.3639811025,3.99912752121,12.0742668388,0.08
17.9844928218,4.26113880306,6.60059552922,2.11
31.0598820924,3.16221560437,5.60600462841,0.54
13.5083282493,8.48130645716,9.91689805102,11.2
17.8796200088,5.00590944295,10.1923575671,1.0212
14.7001584058,3.7759280554,6.72967942808,5.2292
28.7064035375,6.43796600146,16.1250412792,1.0632
6.5868210943,2.6610337833,3.15164580324,11.59
22.7117136695,5.5466425239,8.01337568694,1.2176
33.1420787239,10.5622207084,24.6794647841,0.14
21.6911764902,20.2596476665,22.4053892315,0.02
27.8144280319,7.33542884764,16.880208625,1.81
7.88328025841,9.78263300389,7.91992467425,1.36
27.7779899303,6.86114966016,15.1874105665,2.56
12.8658046558,3.27620594778,8.13489410532,0.46
17.0561720262,3.83100874149,7.57633462659,1.046
4.75543630044,0.977467737914,1.1869169289,11.2792
21.7016895128,4.96406586475,11.3763999679,4.18
7.08209032641,4.26855988371,4.73250615096,33.31
