HX,HY,S,V,oc
0.967294863039,0.253654583909,0.471153846154,0.104,43.53
0.898398734969,0.439180729321,0.628541111472,0.2638246197,0.15
0.897804539571,0.440394151558,0.289719626168,0.214,0.7544
0.824997474598,0.565136414423,0.330097087379,0.206,0.0852
0.885822760777,0.464023745609,0.470046082949,0.217,1.23
0.943883330308,0.330279061955,0.341463414634,0.082,40.74
0.872868009959,0.487956388615,0.543103448276,0.348,0.21
0.891491135545,0.453038138841,0.411764705882,0.238,0.7616
0.911885271764,0.410445186522,0.630335799591,0.2867467282,0.16
0.822983865894,0.568064746731,0.472727272727,0.11,2.0316
0.842090776771,0.539335817165,0.630390143737,0.487,0.3856
0.896165556961,0.443719837867,0.38679245283,0.212,3.39
0.939692620786,0.342020143326,0.419213973799,0.229,0.76
0.855645939615,0.517561615676,0.451612903226,0.341,0.16
0.856573542303,0.516024967058,0.479318734793,0.411,0.15
0.790882308899,0.611968278157,0.342756183746,0.283,0.5616
0.935905926757,0.352250047921,0.547008547009,0.351,0.044
0.959492973615,0.281732556841,0.564102564103,0.156,47.32
0.877182602403,0.480156934806,0.418181818182,0.22,0.4692
0.954902241444,0.296920375328,0.573913043478,0.115,29.55
0.853111505833,0.521728625452,0.467741935484,0.31,0.57
0.93623487064,0.351374824082,0.3125,0.112,5.56
0.958623279904,0.284677725201,0.746919820762,0.2331276996,0.27
0.919527772551,0.393025031654,0.542635658915,0.129,0.7968
0.897362829033,0.441293499918,0.648351648352,0.364,3.8
0.893002603924,0.450051496371,0.497005988024,0.167,2.8952
0.874480957831,0.485059846195,0.578199052133,0.211,0.9096
0.859115280557,0.511782116446,0.465587044534,0.247,0.08
0.927341767818,0.374215506974,0.351508071437,0.2097173365,2.11
0.918559685852,0.395282308646,0.209375,0.32,0.54
0.949894146673,0.312571767945,0.574358974359,0.195,11.2
0.897153606339,0.441718696268,0.47247706422,0.218,1.0212
0.913545457643,0.406736643076,0.391061452514,0.179,5.2292
0.87384937707,0.486196736101,0.494011976048,0.334,1.0632
0.939692620786,0.342020143326,0.407766990291,0.103,11.59
0.933180611042,0.359407772838,0.360153256705,0.261,1.2176
0.872300334084,0.488970476775,0.626108249422,0.4092093494,0.14
0.954722565081,0.29749760289,0.773812831999,0.3360049143,0.02
0.88067700227,0.473717233878,0.525679758308,0.331,1.81
0.958501191038,0.285088524459,0.742218240568,0.1512907666,1.36
0.886630389531,0.462478704764,0.48773006135,0.326,2.56
0.879473751206,0.475947393037,0.466257668712,0.163,0.46
0.90345043461,0.428692561403,0.388059701493,0.201,1.046
0.945817241701,0.324699469205,0.256756756757,0.074,11.2792
0.885781331456,0.464102825723,0.452755905512,0.254,4.18
0.937752132147,0.347305252845,0.529914529915,0.117,33.31
0.815560868959,0.57867129618,0.542372881356,0.413,1.58
0.950237400061,0.311526697933,0.583333333333,0.204,50.12
0.923879532511,0.382683432365,0.48,0.15,0.46
0.833313919082,0.552800065361,0.389438943894,0.303,0.354
0.886465687226,0.462794322967,0.513888888889,0.216,1.5872
0.799442763404,0.600742264237,0.386138613861,0.404,0.9332
0.856857176168,0.515553857177,0.097972972973,0.296,1.3368
0.97161435056,0.236570399218,0.522935779817,0.109,43.12
0.92907357081,0.369894985128,0.637522236621,0.242773513,0.59
0.945183828161,0.32653871284,0.495626822157,0.343,0.318
0.883688649239,0.468075176874,0.558074784618,0.3235841609,0.29
0.934393837161,0.35624171159,0.370967741935,0.186,7.96
0.925040206749,0.379869208937,0.661538461538,0.26,3.31
0.891824757215,0.452381036758,0.48132780083,0.241,1.64
0.809571163341,0.587021747031,0.464435146444,0.478,0.51
0.927367914854,0.374150705597,0.525925925926,0.135,0.86
0.832172725369,0.554516505753,0.509868421053,0.304,0.65
0.817796956717,0.57550685277,0.585751978892,0.379,0.36
0.878512250911,0.477719818512,0.4,0.205,1.2056
0.921748800109,0.387787505598,0.432926829268,0.164,1.424
0.910945660375,0.412526367452,0.576923076923,0.286,0.2312
0.909006535049,0.416781860495,0.431818181818,0.22,3.1
0.798283576605,0.602281770705,0.457330415755,0.457,0.21
