h,s,v,oc
0.0408163265306,0.471153846154,0.104,43.53
0.0723656114617,0.628541111472,0.2638246197,0.15
0.0725806451613,0.289719626168,0.214,0.7544
0.0955882352941,0.330097087379,0.206,0.0852
0.0767973856209,0.470046082949,0.217,1.23
0.0535714285714,0.341463414634,0.082,40.74
0.0811287477954,0.543103448276,0.348,0.21
0.0748299319728,0.411764705882,0.238,0.7616
0.0673133438587,0.630335799591,0.2867467282,0.16
0.0961538461538,0.472727272727,0.11,2.0316
0.0906623235613,0.630390143737,0.487,0.3856
0.0731707317073,0.38679245283,0.212,3.39
0.0555555555556,0.419213973799,0.229,0.76
0.0865800865801,0.451612903226,0.341,0.16
0.0862944162437,0.479318734793,0.411,0.15
0.104810996564,0.342756183746,0.283,0.5616
0.0572916666667,0.547008547009,0.351,0.044
0.0454545454545,0.564102564103,0.156,47.32
0.0797101449275,0.418181818182,0.22,0.4692
0.0479797979798,0.573913043478,0.115,29.55
0.0873563218391,0.467741935484,0.31,0.57
0.0571428571429,0.3125,0.112,5.56
0.0459432934472,0.746919820762,0.2331276996,0.27
0.0642857142857,0.542635658915,0.129,0.7968
0.0727401129944,0.648351648352,0.364,3.8
0.074297188755,0.497005988024,0.167,2.8952
0.0806010928962,0.578199052133,0.211,0.9096
0.0855072463768,0.465587044534,0.247,0.08
0.0610439852232,0.351508071437,0.2097173365,2.11
0.0646766169154,0.209375,0.32,0.54
0.0505952380952,0.574358974359,0.195,11.2
0.0728155339806,0.47247706422,0.218,1.0212
0.0666666666667,0.391061452514,0.179,5.2292
0.0808080808081,0.494011976048,0.334,1.0632
0.0555555555556,0.407766990291,0.103,11.59
0.0585106382979,0.360153256705,0.261,1.2176
0.0813137123299,0.626108249422,0.4092093494,0.14
0.0480760143848,0.773812831999,0.3360049143,0.02
0.0785440613027,0.525679758308,0.331,1.81
0.0460115005277,0.742218240568,0.1512907666,1.36
0.0765199161426,0.48773006135,0.326,2.56
0.0789473684211,0.466257668712,0.163,0.46
0.0705128205128,0.388059701493,0.201,1.046
0.0526315789474,0.256756756757,0.074,11.2792
0.0768115942029,0.452755905512,0.254,4.18
0.0564516129032,0.529914529915,0.117,33.31
0.0982142857143,0.542372881356,0.413,1.58
0.0504201680672,0.583333333333,0.204,50.12
0.0625,0.48,0.15,0.46
0.0932203389831,0.389438943894,0.303,0.354
0.0765765765766,0.513888888889,0.216,1.5872
0.102564102564,0.386138613861,0.404,0.9332
